AU,+05:00
AT,+01:00
AZ,+04:00
AL,+01:00
DZ,+01:00
AO,+01:00
AD,+01:00
AG,-04:00
AR,-03:00
AM,+04:00
AF,+04:30
BS,-05:00
BD,+06:00
BB,-04:00
BH,+03:00
BZ,-06:00
BY,+03:00
BE,+01:00
BJ,+01:00
BG,+02:00
BO,-04:00
BA,+01:00
BW,+02:00
BR,-05:00
BN,+08:00
BF,0:00
BI,+02:00
BT,+06:00
VU,+11:00
VA,+01:00
GB,-08:00
HU,+01:00
VE,-04:30
TL,+09:00
VN,+07:00
GA,+01:00
HT,-05:00
GY,-04:00
GM,0:00
GH,0:00
GT,-06:00
GW,0:00
GN,0:00
DE,+01:00
HN,-06:00
HK,+08:00
GD,-04:00
GR,+02:00
GE,+04:00
DK,-04:00
CD,+01:00
DJ,+03:00
DM,-04:00
DO,-04:00
EG,+02:00
ZM,+02:00
ZW,+02:00
IL,+02:00
IN,+05:30
ID,+07:00
JO,+02:00
IQ,+03:00
IR,+03:30
IE,0:00
IS,0:00
ES,0:00
IT,+01:00
YE,+03:00
CV,-01:00
KZ,+05:00
KH,+07:00
CM,+01:00
CA,+08:00
QA,+03:00
KE,+03:00
CY,+02:00
KG,+06:00
KI,+12:00
TW,+08:00
KP,+09:00
CN,+08:00
CO,-05:00
KM,+03:00
CR,-06:00
CI,0:00
CU,-05:00
KW,+03:00
LA,+07:00
LV,+02:00
LS,+02:00
LR,0:00
LB,+02:00
LY,+01:00
LT,+02:00
LI,+01:00
LU,+01:00
MU,+04:00
MR,0:00
MG,+03:00
MO,+08:00
MK,+01:00
MW,+02:00
MY,+08:00
ML,0:00
MV,+05:00
MT,+01:00
MA,0:00
MH,+12:00
MX,-08:00
FM,+10:00
MZ,+02:00
MD,+02:00
MC,+01:00
MN,+07:00
MM,+06:30
NA,+01:00
NR,+12:00
NP,+05:45
NE,+01:00
NG,+01:00
NL,-04:00
NI,-06:00
NZ,-11:00
NO,+01:00
AE,+04
OM,+04:00
PK,+05:00
PW,+09:00
PA,-05:00
PG,+10:00
PY,-04:00
PE,-05:00
PL,+01:00
PT,-01:00
CG,+01:00
KR,+09:00
RW,+02:00
RO,+02:00
SV,-06:00
WS,+13:00
SM,+01:00
ST,0:00
SA,+03:00
SZ,+02:00
SC,+04:00
SN,0:00
VC,-04:00
KN,-04:00
LC,-04:00
RS,+01:00
SG,+08:00
SY,+02:00
SK,+01:00
SI,+01:00
SB,+11:00
SO,+03:00
SD,+03:00
SR,-03:00
US,-12:00
SL,0:00
TJ,+05:00
TH,+07:00
TZ,+03:00
TG,0:00
TO,+13:00
TT,-04:00
TV,+12:00
TN,+01:00
TM,+05:00
TR,+02:00
UG,+03:00
UZ,+05:00
UA,+02:00
UY,-03:00
FJ,+12:00
PH,+08:00
FI,+02:00
FR,-10:00
HR,+01:00
CF,+01:00
TD,+01:00
ME,+01:00
CZ,+01:00
CL,-06:00
CH,+01:00
SE,+01:00
LK,+05:30
EC,-06:00
GQ,+01:00
ER,+03:00
EE,+02:00
ET,+03:00
ZA,+02:00
SS,+03:00
JM,-05:00
JP,+09:00